DREAM TEAM WORLD CUP PLAYERS
Source: https://dev-fantasy.uat-dreamteamfc.com/
Fields: PLAYER | POSITION | NATIONAL TEAM
Juan Portilla | MID | Colombia
Kevin Castaño | MID | Colombia
Luis Díaz | MID | Colombia
Richard Ríos | MID | Colombia
Cucho Hernández | FWD | Colombia
Jhon Córdoba | FWD | Colombia
Luis Suárez | FWD | Colombia

=== CONGO DR ===
Lionel Mpasi | GK | Congo DR
Matthieu Epolo | GK | Congo DR
Timothy Fayulu | GK | Congo DR
Aaron Wan-Bissaka | DEF | Congo DR
Arthur Masuaku | DEF | Congo DR
Axel Tuanzebe | DEF | Congo DR
Chancel Mbemba | DEF | Congo DR
Dylan Batubinsika | DEF | Congo DR
Gédéon Kalulu | DEF | Congo DR
Joris Kayembe | DEF | Congo DR
Steve Kapuadi | DEF | Congo DR
Aaron Tshibola | MID | Congo DR
Brian Cipenga | MID | Congo DR
Charles Pickel | MID | Congo DR
Edo Kayembe | MID | Congo DR
Gaël Kakuta | MID | Congo DR
Meschack Elia | MID | Congo DR
Nathanaël Mbuku | MID | Congo DR
Ngal'ayel Mukau | MID | Congo DR
Noah Sadiki | MID | Congo DR
Samuel Moutoussamy | MID | Congo DR
Théo Bongonda | MID | Congo DR
Cédric Bakambu | FWD | Congo DR
Fiston Mayele | FWD | Congo DR
Simon Banza | FWD | Congo DR
Yoane Wissa | FWD | Congo DR

=== CÔTE D'IVOIRE ===
Alban Lafont | GK | Côte d'Ivoire
Mohamed Koné | GK | Côte d'Ivoire
Yahia Fofana | GK | Côte d'Ivoire
Clément Akpa | DEF | Côte d'Ivoire
Emmanuel Agbadou | DEF | Côte d'Ivoire
Evan Ndicka | DEF | Côte d'Ivoire
Ghislain Konan | DEF | Côte d'Ivoire
Guéla Doué | DEF | Côte d'Ivoire
Odilon Kossounou | DEF | Côte d'Ivoire
Ousmane Diomande | DEF | Côte d'Ivoire
Wilfried Singo | DEF | Côte d'Ivoire
Amad Diallo | MID | Côte d'Ivoire
Bazoumana Touré | MID | Côte d'Ivoire
Christ Inao Oulaï | MID | Côte d'Ivoire
Franck Kessie | MID | Côte d'Ivoire
Ibrahim Sangaré | MID | Côte d'Ivoire
Jean Michaël Seri | MID | Côte d'Ivoire
Nicolas Pépé | MID | Côte d'Ivoire
Parfait Guiagon | MID | Côte d'Ivoire
Seko Fofana | MID | Côte d'Ivoire
Simon Adingra | MID | Côte d'Ivoire
Yan Diomande | MID | Côte d'Ivoire
Ange-Yoan Bonny | FWD | Côte d'Ivoire
Elye Wahi | FWD | Côte d'Ivoire
Evann Guessand | FWD | Côte d'Ivoire
Oumar Diakité | FWD | Côte d'Ivoire

=== CROATIA ===
Dominik Kotarski | GK | Croatia
Dominik Livakovic | GK | Croatia
Ivor Pandur | GK | Croatia
Duje Caleta-Car | DEF | Croatia
Josip Stanisic | DEF | Croatia
Josip Sutalo | DEF | Croatia
Josko Gvardiol | DEF | Croatia
Luka Vuskovic | DEF | Croatia
Marin Pongracic | DEF | Croatia
Martin Erlic | DEF | Croatia
Ivan Perisic | MID | Croatia
Kristijan Jakic | MID | Croatia
Luka Modric | MID | Croatia
Luka Sucic | MID | Croatia
Marco Pasalic | MID | Croatia
Mario Pasalic | MID | Croatia
Martin Baturina | MID | Croatia
Mateo Kovacic | MID | Croatia
Nikola Moro | MID | Croatia
Nikola Vlasic | MID | Croatia
Petar Sucic | MID | Croatia
Toni Fruk | MID | Croatia
Andrej Kramaric | FWD | Croatia
Ante Budimir | FWD | Croatia
Igor Matanovic | FWD | Croatia
Petar Musa | FWD | Croatia

=== CURAÇAO ===
Eloy Room | GK | Curaçao
Trevor Doornbusch | GK | Curaçao
Tyrick Bodak | GK | Curaçao
Armando Obispo | DEF | Curaçao
Deveron Fonville | DEF | Curaçao
Joshua Brenet | DEF | Curaçao
Juriën Gaari | DEF | Curaçao
Riechedly Bazoer | DEF | Curaçao
Roshon van Eijma | DEF | Curaçao
Sherel Floranus | DEF | Curaçao
Shurandy Sambo | DEF | Curaçao
Ar'Jany Martha | MID | Curaçao
Godfried Roemeratoe | MID | Curaçao
Jearl Margaritha | MID | Curaçao
Jeremy Antonisse | MID | Curaçao
Juninho Bacuna | MID | Curaçao
Kenji Gorré | MID | Curaçao
Kevin Felida | MID | Curaçao
Leandro Bacuna | MID | Curaçao
Livano Comenencia | MID | Curaçao
Sontje Hansen | MID | Curaçao
Tahith Chong | MID | Curaçao
Tyrese Noslin | MID | Curaçao
Brandley Kuwas | FWD | Curaçao
Gervane Kastaneer | FWD | Curaçao
Jürgen Locadia | FWD | Curaçao

=== CZECHIA ===
Jindrich Stanek | GK | Czechia
Lukás Hornícek | GK | Czechia
Matej Kovár | GK | Czechia
David Jurásek | DEF | Czechia
David Zima | DEF | Czechia
Jaroslav Zeleny | DEF | Czechia
Ladislav Krejcí | DEF | Czechia
Robin Hranác | DEF | Czechia
Tomás Holes | DEF | Czechia
Vladimír Coufal | DEF | Czechia
Adam Hlozek | MID | Czechia
David Doudera | MID | Czechia
Lukás Cerv | MID | Czechia
Lukás Provod | MID | Czechia
Michal Sadílek | MID | Czechia
Pavel Sulc | MID | Czechia
Tomás Soucek | MID | Czechia
Vladimír Darida | MID | Czechia
Mojmír Chytil | FWD | Czechia
Patrik Schick | FWD | Czechia
Tomás Chory | FWD | Czechia

=== ECUADOR ===
Hernán Galíndez | GK | Ecuador
Joel Ordóñez | DEF | Ecuador
Pervis Estupiñán | DEF | Ecuador
Piero Hincapié | DEF | Ecuador
Willian Pacho | DEF | Ecuador
Gonzalo Plata | MID | Ecuador
John Yeboah | MID | Ecuador
Kendry Páez | MID | Ecuador
Moisés Caicedo | MID | Ecuador
Nilson Angulo | MID | Ecuador
Pedro Vite | MID | Ecuador
Enner Valencia | FWD | Ecuador
Kevin Rodríguez | FWD | Ecuador

=== EGYPT ===
Mohamed El Sayed Mohamed El Shenawy Gomaa | GK | Egypt
Mostafa Ahmed Abdelaziz Mohamed Shobeir | GK | Egypt
Ahmed Mohamed Abou El Fotouh Mohamed | DEF | Egypt
Hamdi Fathy Abdelhalim Abdel Fattah | DEF | Egypt
Hossam Abdelmaguid Abdelsalam Abdelmaguid | DEF | Egypt
Karim Hafez Ramadan Seif El Din | DEF | Egypt
Mohamed Abdelmonem El Sayed Mohamed Ahmed | DEF | Egypt
Mohamed Hany Gamal El Demerdash | DEF | Egypt
Ramy Hisham Abdel Aziz Mostafa Rabia | DEF | Egypt
Yasser Ahmed Ibrahim El Hanafi | DEF | Egypt
Ahmed Mostafa Mohamed Sayed | MID | Egypt
Emam Ashour Metwally Abdel Ghany | MID | Egypt
Ibrahim Adel Ali Mohamed Hassan | MID | Egypt
Mahmoud Ahmed Ibrahim Hassan | MID | Egypt
Mahmoud Saber Abdelmohsen Hassan | MID | Egypt
Marwan Attia Fahim Ghallab | MID | Egypt
Mohanad Mostafa Ahmed Abdelmonem Lasheen | MID | Egypt
Nabil Emad Aly El Mahdy | MID | Egypt
Mohamed Salah Hamed Mahrous Ghaly | FWD | Egypt
Omar Khaled Mohamed Abdelsalam Marmoush | FWD | Egypt

=== ENGLAND ===
Dean Henderson | GK | England
James Trafford | GK | England
Jordan Pickford | GK | England
Dan Burn | DEF | England
Djed Spence | DEF | England
Ezri Konsa | DEF | England
Jarell Quansah | DEF | England
John Stones | DEF | England
Marc Guéhi | DEF | England
Nico O'Reilly | DEF | England
Reece James | DEF | England
Tino Livramento | DEF | England
Anthony Gordon | MID | England
Bukayo Saka | MID | England
Declan Rice | MID | England
Eberechi Eze | MID | England
Elliot Anderson | MID | England
Jordan Henderson | MID | England
Jude Bellingham | MID | England
Kobbie Mainoo | MID | England
Marcus Rashford | MID | England
Morgan Rogers | MID | England
Noni Madueke | MID | England
Harry Kane | FWD | England
Ivan Toney | FWD | England
Ollie Watkins | FWD | England

=== FRANCE ===
Brice Samba | GK | France
Mike Maignan | GK | France
Robin Risser | GK | France
Dayot Upamecano | DEF | France
Ibrahima Konaté | DEF | France
Jules Koundé | DEF | France
Lucas Digne | DEF | France
Lucas Hernández | DEF | France
Malo Gusto | DEF | France
Maxence Lacroix | DEF | France
Théo Hernández | DEF | France
William Saliba | DEF | France
Adrien Rabiot | MID | France
Aurélien Tchouaméni | MID | France
Bradley Barcola | MID | France
Désiré Doué | MID | France
Maghnes Akliouche | MID | France
Manu Koné | MID | France
Michael Olise | MID | France
N'Golo Kanté | MID | France
Ousmane Dembélé | MID | France
Rayan Cherki | MID | France
Warren Zaïre-Emery | MID | France
Jean-Philippe Mateta | FWD | France
Kylian Mbappé | FWD | France
Marcus Thuram | FWD | France

=== GERMANY ===
Alexander Nübel | GK | Germany
Manuel Neuer | GK | Germany
Oliver Baumann | GK | Germany
Antonio Rüdiger | DEF | Germany
David Raum | DEF | Germany
Jonathan Tah | DEF | Germany
Joshua Kimmich | DEF | Germany
Malick Thiaw | DEF | Germany
Nathaniel Brown | DEF | Germany
Nico Schlotterbeck | DEF | Germany
Waldemar Anton | DEF | Germany
Aleksandar Pavlovic | MID | Germany
Angelo Stiller | MID | Germany
Felix Nmecha | MID | Germany
Florian Wirtz | MID | Germany
Jamal Musiala | MID | Germany
Jamie Leweling | MID | Germany
Lennart Karl | MID | Germany
Leon Goretzka | MID | Germany
Leroy Sané | MID | Germany
Nadiem Amiri | MID | Germany
Pascal Groß | MID | Germany
Deniz Undav | FWD | Germany
Kai Havertz | FWD | Germany
Maximilian Beier | FWD | Germany
Nick Woltemade | FWD | Germany

=== GHANA ===
Benjamin Asare | GK | Ghana
Lawrence Ati Zigi | GK | Ghana
Alexander Kwabena Baidooh Djiku | DEF | Ghana
Alidu Seidu | DEF | Ghana
Caleb Yirenkyi | DEF | Ghana
Gideon Mensah | DEF | Ghana
Jerome Opoku | DEF | Ghana
Jonas Adjetey | DEF | Ghana
Kojo Peprah Oppong | DEF | Ghana
Abdul Fatawu Issahaku | MID | Ghana
Antoine Semenyo | MID | Ghana
Brandon Thomas-Asante | MID | Ghana
Christopher Bonsu Baah | MID | Ghana
Elisha Owusu | MID | Ghana
Ernest Nuamah | MID | Ghana
Kamaldeen Sulemana | MID | Ghana
Kwasi Sibo | MID | Ghana
Thomas Partey | MID | Ghana
Iñaki Williams | FWD | Ghana
Jordan Ayew | FWD | Ghana
Prince Adu | FWD | Ghana

=== HAITI ===
Alexandre Pierre | GK | Haiti
Johny Placide | GK | Haiti
Josué Duverger | GK | Haiti
Carlens Arcus | DEF | Haiti
Duke Lacroix | DEF | Haiti
Hannes Delcroix | DEF | Haiti
Jean-Kévin Duverne | DEF | Haiti
Keeto Thermoncy | DEF | Haiti
Martin Expérience | DEF | Haiti
Ricardo Adé | DEF | Haiti
Wilguens Paugain | DEF | Haiti
Carl Sainté | MID | Haiti
Danley Jean Jacques | MID | Haiti
Derrick Etienne | MID | Haiti
Dominique Simon | MID | Haiti
Jean-Ricner Bellegarde | MID | Haiti
Josué Casimir | MID | Haiti
Leverton Pierre | MID | Haiti
Ruben Providence | MID | Haiti
Woodensky Pierre | MID | Haiti
Yassin Fortuné | MID | Haiti
Duckens Nazon | FWD | Haiti
Frantzdy Pierrot | FWD | Haiti
Lenny Joseph | FWD | Haiti
Louicius Deedson | FWD | Haiti
Wilson Isidor | FWD | Haiti

=== IR IRAN ===
Alireza Beiranvand | GK | IR Iran
Hossein Hosseini | GK | IR Iran
Payam Niazmand | GK | IR Iran
Ali Nemati | DEF | IR Iran
Aria Yousefi | DEF | IR Iran
Ehsan Hajisafi | DEF | IR Iran
Hossein Kanani | DEF | IR Iran
Milad Mohammadi | DEF | IR Iran
Ramin Rezaeian | DEF | IR Iran
Saleh Hardani | DEF | IR Iran
Shoja Khalilzadeh | DEF | IR Iran
Alireza Jahanbakhsh | MID | IR Iran
Mehdi Ghayedi | MID | IR Iran
Mehdi Torabi | MID | IR Iran
Mohammad Mohebbi | MID | IR Iran
Omid Noorafkan | MID | IR Iran
Saeid Ezatolahi | MID | IR Iran
Saman Ghoddos | MID | IR Iran
Ali Alipour | FWD | IR Iran
Amirhossein Hosseinzadeh | FWD | IR Iran
Mehdi Taremi | FWD | IR Iran

=== IRAQ ===
Ahmed Basil Fadhil Al Fadhli | GK | Iraq
Fahad Talib Raheem | GK | Iraq
Jalal Hassan Hachim | GK | Iraq
Akam Hashim Rahman | DEF | Iraq
Frans Dhia Jirjis Haddad | DEF | Iraq
Hussein Haydar Ali | DEF | Iraq
Merchas Ghazi Salih Doski | DEF | Iraq
Munaf Younus Hashim Al Tekreeti | DEF | Iraq
Rebin Ghareeb Sulaka Adhamat | DEF | Iraq
Zaid Tahseen Abd Zaid Hantoosh | DEF | Iraq
Ali Jasim Elaibi Al Tameemi | MID | Iraq
Amir Fouad Abboud Al Ammari | MID | Iraq
Hasan Abdulkareem Jabbar Sayyid | MID | Iraq
Ibrahim Bayesh Kamil Al Kaabawi | MID | Iraq
Marko Hussein Farji | MID | Iraq
Youssef Wali Faeq Amyn | MID | Iraq
Zidane Aamar Iqbal | MID | Iraq
Ali Ibrahim Karim Ali Al Hamadi | FWD | Iraq
Aymen Hussein Ghadhban Al Mafraje | FWD | Iraq
Mohanad Ali Kadhim Al Shammari | FWD | Iraq

=== JAPAN ===
Keisuke Osako | GK | Japan
Tomoki Hayakawa | GK | Japan
Zion Suzuki | GK | Japan
Ayumu Seko | DEF | Japan
Hiroki Ito | DEF | Japan
Junnosuke Suzuki | DEF | Japan
Ko Itakura | DEF | Japan
Shogo Taniguchi | DEF | Japan
Takehiro Tomiyasu | DEF | Japan
Tsuyoshi Watanabe | DEF | Japan
Yukinari Sugawara | DEF | Japan
Yuto Nagatomo | DEF | Japan
Ao Tanaka | MID | Japan
Daichi Kamada | MID | Japan
Daizen Maeda | MID | Japan
Junya Ito | MID | Japan
Kaishu Sano | MID | Japan
Keito Nakamura | MID | Japan
Ritsu Doan | MID | Japan
Takefusa Kubo | MID | Japan
Wataru Endo | MID | Japan
Yuito Suzuki | MID | Japan
Ayase Ueda | FWD | Japan
Keisuke Goto | FWD | Japan
Kento Shiogai | FWD | Japan
Koki Ogawa | FWD | Japan

=== JORDAN ===
Abdallah Ra'ed Mahmoud Al Fakhouri | GK | Jordan
Yazeed Mo'ien Hasan Abulaila | GK | Jordan
Abdallah Mousa Musallam Nasib | DEF | Jordan
Ehsan Nabil Farhan Haddad | DEF | Jordan
Husam Ali Mohammad Abu Al Dahab | DEF | Jordan
Mohammad Majed Jamil Abu Al Nadi | DEF | Jordan
Saed Ahmad Salameh Al Rosan | DEF | Jordan
Yazan Mousa Mahmoud Abu Al Arab | DEF | Jordan
Amer Rasem Adel Jamous | MID | Jordan
Ibrahim Mohammad Sami Sadeh | MID | Jordan
Mahmoud Nayef Ahmad Al Mardi | MID | Jordan
Mohammad Ali Hasan Abu Hasheesh | MID | Jordan
Mohammad Faisal Yousef Abu Zraiq | MID | Jordan
Mohannad Mahmoud Saleh Abu Taha | MID | Jordan
Mousa Mohammad Mousa Sulaiman Al Tamari | MID | Jordan
Nizar Mahmoud Ahmed Al Rashdan | MID | Jordan
Noor Al Deen Mahmoud Ali Al Rawabdeh | MID | Jordan
Odeh Burhan Shehadeh Fakhoury | MID | Jordan
Raja'ei Ayed Fadel Hasan | MID | Jordan
Ali Iyad Ali Olwan | FWD | Jordan
Ibrahim Mohammad Abdallah Sabra | FWD | Jordan

=== KOREA REPUBLIC ===
Bum-Keun Song | GK | Korea Republic
Hyeon-Woo Jo | GK | Korea Republic
Seung-Gyu Kim | GK | Korea Republic
Gi-Hyuk Lee | DEF | Korea Republic
Han-Beom Lee | DEF | Korea Republic
Min-Jae Kim | DEF | Korea Republic
Moon-Hwan Kim | DEF | Korea Republic
Tae-Hyeon Kim | DEF | Korea Republic
Tae-Seok Lee | DEF | Korea Republic
Young-Woo Seol | DEF | Korea Republic
Yu-Min Cho | DEF | Korea Republic
Dong-Gyeong Lee | MID | Korea Republic
In-Beom Hwang | MID | Korea Republic
Jae-Sung Lee | MID | Korea Republic
Jens Castrop | MID | Korea Republic
Jin-Gyu Kim | MID | Korea Republic
Jin-Seob Park | MID | Korea Republic
Jun-Ho Bae | MID | Korea Republic
Kang-In Lee | MID | Korea Republic
Seung-Ho Paik | MID | Korea Republic
Gue-Sung Cho | FWD | Korea Republic
Hee-Chan Hwang | FWD | Korea Republic
Heung-Min Son | FWD | Korea Republic
Hyeon-Gyu Oh | FWD | Korea Republic
Hyun-Jun Yang | FWD | Korea Republic
Ji-Sung Eom | FWD | Korea Republic

=== MEXICO ===
Guillermo Ochoa | GK | Mexico
Raúl Rangel | GK | Mexico
César Montes | DEF | Mexico
Israel Reyes | DEF | Mexico
Jesús Gallardo | DEF | Mexico
Johan Vásquez | DEF | Mexico
Jorge Sánchez | DEF | Mexico
Mateo Chávez | DEF | Mexico
Alexis Vega | MID | Mexico
Brian Gutiérrez | MID | Mexico
Carlos Alberto Rodríguez Gómez | MID | Mexico
Diego Lainez Leyva | MID | Mexico
Edson Álvarez | MID | Mexico
Érick Daniel Sánchez Ocegueda | MID | Mexico
Érik Lira | MID | Mexico
Marcel Alejandro Ruiz Suárez | MID | Mexico
Orbelín Pineda | MID | Mexico
Armando González | FWD | Mexico
Julián Quiñones | FWD | Mexico
Raúl Jiménez | FWD | Mexico
Roberto Alvarado | FWD | Mexico
Santiago Giménez | FWD | Mexico

=== MOROCCO ===
Ahmed Reda Tagnaouti | GK | Morocco
Munir El Kajoui | GK | Morocco
Yassine Bounou | GK | Morocco
Achraf Hakimi | DEF | Morocco
Anass Salah-Eddine | DEF | Morocco
Chadi Riad | DEF | Morocco
Issa Diop | DEF | Morocco
Nayef Aguerd | DEF | Morocco
Noussair Mazraoui | DEF | Morocco
Redouane Halhal | DEF | Morocco
Youssef Belammari | DEF | Morocco
Zakaria El Ouahdi | DEF | Morocco
Abde Ezzalzouli | MID | Morocco
Ayoube Amaimouni-Echghouyab | MID | Morocco
Ayyoub Bouaddi | MID | Morocco
Azzedine Ounahi | MID | Morocco
Bilal El Khannouss | MID | Morocco
Brahim Díaz | MID | Morocco
Chemsdine Talbi | MID | Morocco
Gessime Yassine | MID | Morocco
Ismael Saibari | MID | Morocco
Neil El Aynaoui | MID | Morocco
